name: 🇨🇿 Czechia-8006 | avg_speed: 32.701 MB/s | delay: 17 ms
name: 🇬🇧 UK-9532 | avg_speed: 2.298 MB/s | delay: 253 ms
name: 🇺🇸 USA-3058 | avg_speed: 2.294 MB/s | delay: 252 ms
name: 🇬🇧 UK-6784 | avg_speed: 2.756 MB/s | delay: 366 ms
name: 🇺🇸 USA-6321 | avg_speed: 2.000 MB/s | delay: 182 ms
name: 🏁 Relay-7022 | avg_speed: 2.360 MB/s | delay: 270 ms
name: 🇺🇸 USA-1692 | avg_speed: 2.141 MB/s | delay: 217 ms
name: 🇸🇪 Sweden-4330 | avg_speed: 2.361 MB/s | delay: 271 ms
name: 🏁 Relay-9513 | avg_speed: 1.642 MB/s | delay: 95 ms
name: 🏁 Relay-3632 | avg_speed: 1.484 MB/s | delay: 58 ms
name: 🇬🇧 UK-7469 | avg_speed: 2.362 MB/s | delay: 273 ms
name: 🏁 Relay-2777 | avg_speed: 1.508 MB/s | delay: 64 ms
name: 🇺🇸 USA-2359 | avg_speed: 2.298 MB/s | delay: 258 ms
name: 🇺🇸 USA-5152 | avg_speed: 2.298 MB/s | delay: 258 ms
name: 🏁 Relay-2587 | avg_speed: 3.159 MB/s | delay: 469 ms
name: 🇯🇵 Japan-5492 | avg_speed: 2.630 MB/s | delay: 341 ms
name: 🇺🇸 USA-7511 | avg_speed: 2.202 MB/s | delay: 238 ms
name: 🏁 Relay-4213 | avg_speed: 3.558 MB/s | delay: 570 ms
name: 🇪🇪 Estonia-9099 | avg_speed: 2.667 MB/s | delay: 353 ms
name: 🏁 Relay-3492 | avg_speed: 3.408 MB/s | delay: 536 ms
name: 🇺🇸 USA-9992 | avg_speed: 2.124 MB/s | delay: 222 ms
name: 🏁 Relay-6594 | avg_speed: 3.905 MB/s | delay: 658 ms
name: 🇮🇲 Isle-of-Man-7648 | avg_speed: 1.708 MB/s | delay: 121 ms
name: 🇬🇧 UK-3776 | avg_speed: 2.349 MB/s | delay: 278 ms
name: 🇬🇧 UK-2805 | avg_speed: 2.318 MB/s | delay: 271 ms
name: 🏁 Relay-4926 | avg_speed: 3.134 MB/s | delay: 471 ms
name: 🇬🇧 UK-1345 | avg_speed: 2.345 MB/s | delay: 278 ms
name: 🇬🇧 UK-7167 | avg_speed: 2.365 MB/s | delay: 283 ms
name: 🇬🇧 UK-9352 | avg_speed: 2.329 MB/s | delay: 277 ms
name: 🇳🇱 Netherlands-1386 | avg_speed: 2.294 MB/s | delay: 269 ms
name: 🇬🇧 UK-5519 | avg_speed: 2.310 MB/s | delay: 273 ms
name: 🇩🇪 Germany-4636 | avg_speed: 2.788 MB/s | delay: 390 ms
name: 🇺🇸 USA-2441 | avg_speed: 2.241 MB/s | delay: 257 ms
name: 🇬🇧 UK-1905 | avg_speed: 2.350 MB/s | delay: 284 ms
name: 🇯🇵 Japan-7759 | avg_speed: 2.542 MB/s | delay: 331 ms
name: 🏁 Relay-3542 | avg_speed: 3.220 MB/s | delay: 499 ms
name: 🇬🇧 UK-8574 | avg_speed: 2.296 MB/s | delay: 273 ms
name: 🇬🇧 UK-4973 | avg_speed: 2.280 MB/s | delay: 271 ms
name: 🇬🇧 UK-8330 | avg_speed: 2.310 MB/s | delay: 279 ms
name: 🇪🇪 Estonia-9460 | avg_speed: 2.700 MB/s | delay: 375 ms
name: 🇫🇷 France-4759 | avg_speed: 2.666 MB/s | delay: 367 ms
name: 🇬🇧 UK-8265 | avg_speed: 2.310 MB/s | delay: 280 ms
name: 🇬🇧 UK-6479 | avg_speed: 2.269 MB/s | delay: 271 ms
name: 🏁 Relay-6552 | avg_speed: 2.784 MB/s | delay: 397 ms
name: 🇬🇧 UK-3189 | avg_speed: 2.317 MB/s | delay: 283 ms
name: 🇬🇧 UK-3789 | avg_speed: 2.334 MB/s | delay: 288 ms
name: 🇬🇧 UK-9249 | avg_speed: 2.308 MB/s | delay: 283 ms
name: 🇬🇧 UK-9756 | avg_speed: 2.307 MB/s | delay: 283 ms
name: 🇬🇧 UK-1099 | avg_speed: 2.331 MB/s | delay: 289 ms
name: 🏁 Relay-1570 | avg_speed: 1.469 MB/s | delay: 79 ms
name: 🇰🇷 South-Korea-7077 | avg_speed: 2.340 MB/s | delay: 293 ms
name: 🇪🇸 Spain-3076 | avg_speed: 2.422 MB/s | delay: 314 ms
name: 🇬🇧 UK-7520 | avg_speed: 2.113 MB/s | delay: 239 ms
name: 🏁 Relay-7532 | avg_speed: 1.406 MB/s | delay: 67 ms
name: 🏁 Relay-3049 | avg_speed: 4.561 MB/s | delay: 839 ms
name: 🇬🇧 UK-1353 | avg_speed: 2.303 MB/s | delay: 287 ms
name: 🇬🇧 UK-4929 | avg_speed: 2.224 MB/s | delay: 268 ms
name: 🇬🇧 UK-3945 | avg_speed: 2.212 MB/s | delay: 266 ms
name: 🇬🇧 UK-3366 | avg_speed: 2.350 MB/s | delay: 300 ms
name: 🇵🇱 Poland-6673 | avg_speed: 2.954 MB/s | delay: 449 ms
name: 🇬🇧 UK-4105 | avg_speed: 2.230 MB/s | delay: 274 ms
name: 🇺🇸 USA-2808 | avg_speed: 1.702 MB/s | delay: 145 ms
name: 🇬🇧 UK-5787 | avg_speed: 2.220 MB/s | delay: 272 ms
name: 🇺🇸 USA-3363 | avg_speed: 2.342 MB/s | delay: 302 ms
name: 🇳🇱 Netherlands-4043 | avg_speed: 2.585 MB/s | delay: 362 ms
name: 🇬🇧 UK-3082 | avg_speed: 2.223 MB/s | delay: 274 ms
name: 🇳🇱 Netherlands-5214 | avg_speed: 2.573 MB/s | delay: 360 ms
name: 🇺🇸 USA-4729 | avg_speed: 1.509 MB/s | delay: 99 ms
name: 🇦🇪 Emirates-4658 | avg_speed: 2.474 MB/s | delay: 336 ms
name: 🇳🇱 Netherlands-4929 | avg_speed: 2.657 MB/s | delay: 382 ms
name: 🇺🇸 USA-6248 | avg_speed: 2.299 MB/s | delay: 296 ms
name: 🇩🇪 Germany-5701 | avg_speed: 1.892 MB/s | delay: 198 ms
name: 🇺🇸 USA-6259 | avg_speed: 2.204 MB/s | delay: 275 ms
name: 🇺🇸 USA-5211 | avg_speed: 2.299 MB/s | delay: 299 ms
name: 🇩🇪 Germany-4241 | avg_speed: 2.502 MB/s | delay: 349 ms
name: 🇺🇸 USA-2506 | avg_speed: 2.256 MB/s | delay: 289 ms
name: 🇬🇧 UK-9897 | avg_speed: 2.664 MB/s | delay: 390 ms
name: 🇬🇧 UK-6544 | avg_speed: 2.162 MB/s | delay: 268 ms
name: 🇳🇱 Netherlands-3477 | avg_speed: 2.892 MB/s | delay: 448 ms
name: 🇬🇧 UK-3216 | avg_speed: 2.170 MB/s | delay: 273 ms
name: 🇬🇧 UK-9890 | avg_speed: 2.213 MB/s | delay: 286 ms
name: 🇱🇹 Lithuania-5186 | avg_speed: 2.696 MB/s | delay: 406 ms
name: 🇺🇸 USA-8079 | avg_speed: 2.095 MB/s | delay: 259 ms
name: 🇬🇧 UK-3152 | avg_speed: 2.086 MB/s | delay: 257 ms
name: 🇬🇧 UK-6013 | avg_speed: 2.224 MB/s | delay: 292 ms
name: 🇺🇸 USA-1203 | avg_speed: 2.060 MB/s | delay: 253 ms
name: 🇨🇿 Czechia-2432 | avg_speed: 2.474 MB/s | delay: 355 ms
name: 🇺🇸 USA-3990 | avg_speed: 2.116 MB/s | delay: 269 ms
name: 🇬🇧 UK-7277 | avg_speed: 2.158 MB/s | delay: 282 ms
name: 🇳🇱 Netherlands-7576 | avg_speed: 2.444 MB/s | delay: 353 ms
name: 🇫🇷 France-3144 | avg_speed: 2.543 MB/s | delay: 378 ms
name: 🇳🇱 Netherlands-4108 | avg_speed: 2.522 MB/s | delay: 373 ms
name: 🇵🇱 Poland-7419 | avg_speed: 2.721 MB/s | delay: 422 ms
name: 🇺🇸 USA-5083 | avg_speed: 2.086 MB/s | delay: 267 ms
name: 🇬🇧 UK-5641 | avg_speed: 2.011 MB/s | delay: 249 ms
name: 🇺🇸 USA-1665 | avg_speed: 2.125 MB/s | delay: 278 ms
name: 🇺🇸 USA-5590 | avg_speed: 1.969 MB/s | delay: 240 ms
name: 🇺🇸 USA-2843 | avg_speed: 2.105 MB/s | delay: 274 ms
name: 🇱🇹 Lithuania-9700 | avg_speed: 2.697 MB/s | delay: 419 ms
name: 🇬🇧 UK-7561 | avg_speed: 3.449 MB/s | delay: 604 ms
name: 🇬🇧 UK-5945 | avg_speed: 2.578 MB/s | delay: 392 ms
name: 🇪🇪 Estonia-7140 | avg_speed: 2.520 MB/s | delay: 378 ms
name: 🇳🇱 Netherlands-3895 | avg_speed: 2.184 MB/s | delay: 296 ms
name: 🇫🇮 Finland-6836 | avg_speed: 2.729 MB/s | delay: 430 ms
name: 🇬🇧 UK-6217 | avg_speed: 2.157 MB/s | delay: 291 ms
name: 🇺🇸 USA-6672 | avg_speed: 1.962 MB/s | delay: 244 ms
name: 🇯🇵 Japan-3290 | avg_speed: 2.517 MB/s | delay: 380 ms
name: 🇩🇪 Germany-6168 | avg_speed: 2.336 MB/s | delay: 338 ms
name: 🇬🇧 UK-9413 | avg_speed: 2.148 MB/s | delay: 292 ms
name: 🇳🇱 Netherlands-6771 | avg_speed: 2.491 MB/s | delay: 377 ms
name: 🇱🇻 Latvia-1137 | avg_speed: 2.584 MB/s | delay: 400 ms
name: 🇩🇪 Germany-6214 | avg_speed: 2.269 MB/s | delay: 323 ms
name: 🇳🇱 Netherlands-9884 | avg_speed: 2.710 MB/s | delay: 432 ms
name: 🇫🇷 France-4014 | avg_speed: 2.581 MB/s | delay: 401 ms
name: 🇬🇧 UK-9567 | avg_speed: 2.137 MB/s | delay: 293 ms
name: 🇳🇱 Netherlands-2397 | avg_speed: 2.188 MB/s | delay: 306 ms
name: 🇫🇷 France-2037 | avg_speed: 2.034 MB/s | delay: 272 ms
name: 🏁 Relay-6494 | avg_speed: 3.125 MB/s | delay: 541 ms
name: 🇫🇷 France-6895 | avg_speed: 2.413 MB/s | delay: 369 ms
name: 🏁 Relay-5429 | avg_speed: 2.780 MB/s | delay: 459 ms
name: 🇺🇸 USA-5791 | avg_speed: 1.939 MB/s | delay: 255 ms
name: 🇳🇱 Netherlands-8341 | avg_speed: 2.660 MB/s | delay: 436 ms
name: 🏁 Relay-1969 | avg_speed: 2.734 MB/s | delay: 458 ms
name: 🏁 Relay-6594 | avg_speed: 1.098 MB/s | delay: 63 ms
name: 🇪🇪 Estonia-7376 | avg_speed: 2.270 MB/s | delay: 350 ms
name: 🇱🇹 Lithuania-5762 | avg_speed: 2.618 MB/s | delay: 436 ms
name: 🇬🇧 UK-5309 | avg_speed: 2.044 MB/s | delay: 296 ms
name: 🇩🇪 Germany-7951 | avg_speed: 4.064 MB/s | delay: 791 ms
name: 🇺🇸 USA-9276 | avg_speed: 2.221 MB/s | delay: 340 ms
name: 🇳🇱 Netherlands-1141 | avg_speed: 2.081 MB/s | delay: 306 ms
name: 🇺🇸 USA-1459 | avg_speed: 1.868 MB/s | delay: 255 ms
name: 🏁 Relay-3584 | avg_speed: 1.272 MB/s | delay: 111 ms
name: 🇳🇱 Netherlands-8249 | avg_speed: 1.771 MB/s | delay: 233 ms
name: 🇧🇬 Bulgaria-2509 | avg_speed: 2.740 MB/s | delay: 472 ms
name: 🇩🇪 Germany-4123 | avg_speed: 1.151 MB/s | delay: 84 ms
name: 🇰🇷 South-Korea-5099 | avg_speed: 2.298 MB/s | delay: 366 ms
name: 🏁 Relay-6837 | avg_speed: 1.188 MB/s | delay: 95 ms
name: 🇷🇴 Romania-8952 | avg_speed: 2.637 MB/s | delay: 451 ms
name: 🏁 Relay-4445 | avg_speed: 1.179 MB/s | delay: 96 ms
name: 🇺🇸 USA-6146 | avg_speed: 2.441 MB/s | delay: 405 ms
name: 🇬🇧 UK-1518 | avg_speed: 2.355 MB/s | delay: 385 ms
name: 🏁 Relay-3891 | avg_speed: 2.607 MB/s | delay: 448 ms
name: 🏁 Relay-9415 | avg_speed: 2.770 MB/s | delay: 489 ms
name: 🏁 Relay-4563 | avg_speed: 2.066 MB/s | delay: 317 ms
name: 🏁 Relay-6270 | avg_speed: 1.869 MB/s | delay: 269 ms
name: 🇺🇸 USA-3082 | avg_speed: 1.966 MB/s | delay: 299 ms
name: 🇬🇧 UK-5497 | avg_speed: 2.029 MB/s | delay: 316 ms
name: 🇯🇵 Japan-5089 | avg_speed: 2.542 MB/s | delay: 442 ms
name: 🇺🇸 USA-7094 | avg_speed: 2.285 MB/s | delay: 382 ms
name: 🏁 Relay-1307 | avg_speed: 2.074 MB/s | delay: 333 ms
name: 🇬🇧 UK-1196 | avg_speed: 1.978 MB/s | delay: 310 ms
name: 🇬🇧 UK-7771 | avg_speed: 2.022 MB/s | delay: 321 ms
name: 🇬🇧 UK-7026 | avg_speed: 1.998 MB/s | delay: 316 ms
name: 🇺🇸 USA-2070 | avg_speed: 1.748 MB/s | delay: 256 ms
name: 🇬🇧 UK-1120 | avg_speed: 1.992 MB/s | delay: 316 ms
name: 🇬🇧 UK-8208 | avg_speed: 2.030 MB/s | delay: 326 ms
name: 🇺🇸 USA-9364 | avg_speed: 1.864 MB/s | delay: 286 ms
name: 🇬🇧 UK-2774 | avg_speed: 1.960 MB/s | delay: 310 ms
name: 🇺🇸 USA-7017 | avg_speed: 1.962 MB/s | delay: 311 ms
name: 🇬🇧 UK-7085 | avg_speed: 1.991 MB/s | delay: 320 ms
name: 🇬🇧 UK-3967 | avg_speed: 1.964 MB/s | delay: 314 ms
name: 🇺🇸 USA-8826 | avg_speed: 1.109 MB/s | delay: 104 ms
name: 🇬🇧 UK-7768 | avg_speed: 1.963 MB/s | delay: 314 ms
name: 🇺🇸 USA-2537 | avg_speed: 1.157 MB/s | delay: 117 ms
name: 🇹🇼 Taiwan-2793 | avg_speed: 1.839 MB/s | delay: 284 ms
name: 🇩🇪 Germany-7238 | avg_speed: 1.197 MB/s | delay: 127 ms
name: 🇬🇧 UK-5854 | avg_speed: 1.979 MB/s | delay: 320 ms
name: 🇬🇧 UK-7448 | avg_speed: 1.990 MB/s | delay: 323 ms
name: 🇬🇧 UK-4933 | avg_speed: 2.001 MB/s | delay: 326 ms
name: 🇺🇸 USA-2314 | avg_speed: 2.293 MB/s | delay: 398 ms
name: 🇳🇱 Netherlands-4758 | avg_speed: 2.528 MB/s | delay: 456 ms
name: 🇬🇧 UK-7982 | avg_speed: 2.037 MB/s | delay: 336 ms
name: 🇯🇵 Japan-8437 | avg_speed: 1.971 MB/s | delay: 320 ms
name: 🇬🇧 UK-4257 | avg_speed: 1.930 MB/s | delay: 310 ms
name: 🇬🇧 UK-4951 | avg_speed: 2.007 MB/s | delay: 329 ms
name: 🇬🇧 UK-1816 | avg_speed: 1.924 MB/s | delay: 310 ms
name: 🇯🇵 Japan-4365 | avg_speed: 2.449 MB/s | delay: 442 ms
name: 🇬🇧 UK-9397 | avg_speed: 2.026 MB/s | delay: 339 ms
name: 🇬🇧 UK-1303 | avg_speed: 1.948 MB/s | delay: 321 ms
name: 🇺🇸 USA-4422 | avg_speed: 1.746 MB/s | delay: 272 ms
name: 🇬🇧 UK-9647 | avg_speed: 1.897 MB/s | delay: 309 ms
name: 🇺🇸 USA-3462 | avg_speed: 2.501 MB/s | delay: 457 ms
name: 🇬🇧 UK-4740 | avg_speed: 1.982 MB/s | delay: 330 ms
name: 🇬🇧 UK-9465 | avg_speed: 1.915 MB/s | delay: 314 ms
name: 🇬🇧 UK-8562 | avg_speed: 1.897 MB/s | delay: 310 ms
name: 🇺🇸 USA-7363 | avg_speed: 1.772 MB/s | delay: 281 ms
name: 🇬🇧 UK-7761 | avg_speed: 1.995 MB/s | delay: 336 ms
name: 🇺🇸 USA-1612 | avg_speed: 2.212 MB/s | delay: 389 ms
name: 🇬🇧 UK-4403 | avg_speed: 1.957 MB/s | delay: 327 ms
name: 🇬🇧 UK-4470 | avg_speed: 1.929 MB/s | delay: 321 ms
name: 🇺🇸 USA-2707 | avg_speed: 2.467 MB/s | delay: 453 ms
name: 🇬🇧 UK-5139 | avg_speed: 1.891 MB/s | delay: 315 ms
name: 🇬🇧 UK-3656 | avg_speed: 1.915 MB/s | delay: 323 ms
name: 🇷🇸 Serbia-5836 | avg_speed: 2.625 MB/s | delay: 497 ms
name: 🇹🇷 Turkey-4211 | avg_speed: 2.224 MB/s | delay: 400 ms
name: 🇺🇸 USA-5066 | avg_speed: 1.528 MB/s | delay: 230 ms
name: 🇧🇬 Bulgaria-3421 | avg_speed: 2.090 MB/s | delay: 368 ms
name: 🏁 Relay-5151 | avg_speed: 0.899 MB/s | delay: 77 ms
name: 🇬🇧 UK-7975 | avg_speed: 1.891 MB/s | delay: 320 ms
name: 🇺🇸 USA-3918 | avg_speed: 1.706 MB/s | delay: 278 ms
name: 🇪🇸 Spain-3466 | avg_speed: 1.896 MB/s | delay: 326 ms
name: 🇬🇧 UK-2479 | avg_speed: 1.908 MB/s | delay: 329 ms
name: 🇧🇷 Brazil-1623 | avg_speed: 2.402 MB/s | delay: 450 ms
name: 🏁 Relay-8390 | avg_speed: 0.977 MB/s | delay: 104 ms
name: 🇳🇱 Netherlands-9908 | avg_speed: 2.197 MB/s | delay: 403 ms
name: 🇬🇧 UK-3874 | avg_speed: 1.967 MB/s | delay: 347 ms
name: 🇯🇵 Japan-3285 | avg_speed: 2.438 MB/s | delay: 464 ms
name: 🇳🇱 Netherlands-2996 | avg_speed: 2.670 MB/s | delay: 525 ms
name: 🇬🇧 UK-1937 | avg_speed: 1.871 MB/s | delay: 330 ms
name: 🇪🇪 Estonia-3471 | avg_speed: 2.190 MB/s | delay: 409 ms
name: 🇵🇱 Poland-2258 | avg_speed: 2.226 MB/s | delay: 418 ms
name: 🇫🇮 Finland-4608 | avg_speed: 2.234 MB/s | delay: 423 ms
name: 🇧🇬 Bulgaria-5656 | avg_speed: 2.683 MB/s | delay: 533 ms
name: 🇪🇪 Estonia-6860 | avg_speed: 2.516 MB/s | delay: 493 ms
name: 🇨🇭 Switzerland-4672 | avg_speed: 2.798 MB/s | delay: 562 ms
name: 🇯🇵 Japan-4712 | avg_speed: 2.420 MB/s | delay: 472 ms
name: 🇩🇪 Germany-1561 | avg_speed: 2.222 MB/s | delay: 424 ms
name: 🏁 Relay-4569 | avg_speed: 3.026 MB/s | delay: 621 ms
name: 🇳🇱 Netherlands-7418 | avg_speed: 2.222 MB/s | delay: 425 ms
name: 🏁 Relay-7685 | avg_speed: 3.148 MB/s | delay: 652 ms
name: 🇬🇧 UK-5660 | avg_speed: 1.792 MB/s | delay: 321 ms
name: 🏁 Relay-7660 | avg_speed: 2.372 MB/s | delay: 463 ms
name: 🇳🇱 Netherlands-7541 | avg_speed: 1.456 MB/s | delay: 239 ms
name: 🇰🇷 South-Korea-4999 | avg_speed: 1.896 MB/s | delay: 347 ms
name: 🏁 Relay-7124 | avg_speed: 2.433 MB/s | delay: 480 ms
name: 🇩🇪 Germany-5761 | avg_speed: 2.555 MB/s | delay: 510 ms
name: 🇳🇴 Norway-1415 | avg_speed: 3.034 MB/s | delay: 628 ms
name: 🇦🇪 Emirates-2668 | avg_speed: 2.511 MB/s | delay: 501 ms
name: 🇳🇱 Netherlands-5859 | avg_speed: 2.197 MB/s | delay: 426 ms
name: 🇺🇸 USA-2152 | avg_speed: 1.592 MB/s | delay: 279 ms
name: 🇯🇵 Japan-2177 | avg_speed: 2.361 MB/s | delay: 468 ms
name: 🏁 Relay-9362 | avg_speed: 2.761 MB/s | delay: 566 ms
name: 🇩🇪 Germany-8211 | avg_speed: 2.229 MB/s | delay: 438 ms
name: 🇨🇭 Switzerland-3376 | avg_speed: 2.542 MB/s | delay: 515 ms
name: 🇰🇷 South-Korea-1245 | avg_speed: 1.971 MB/s | delay: 377 ms
name: 🇨🇱 Chile-9120 | avg_speed: 2.142 MB/s | delay: 419 ms
name: 🇯🇵 Japan-6696 | avg_speed: 2.236 MB/s | delay: 443 ms
name: 🇬🇧 UK-3993 | avg_speed: 1.803 MB/s | delay: 338 ms
name: 🇫🇷 France-3364 | avg_speed: 2.322 MB/s | delay: 465 ms
name: 🇭🇰 Hong-Kong-5247 | avg_speed: 1.894 MB/s | delay: 362 ms
name: 🇲🇩 Moldova-6382 | avg_speed: 2.156 MB/s | delay: 426 ms
name: 🇳🇱 Netherlands-2433 | avg_speed: 2.580 MB/s | delay: 530 ms
name: 🇩🇪 Germany-3739 | avg_speed: 2.156 MB/s | delay: 428 ms
name: 🇳🇱 Netherlands-9898 | avg_speed: 1.959 MB/s | delay: 382 ms
name: 🇯🇵 Japan-2180 | avg_speed: 2.307 MB/s | delay: 471 ms
name: 🇺🇸 USA-4603 | avg_speed: 2.297 MB/s | delay: 469 ms
name: 🇳🇱 Netherlands-2273 | avg_speed: 2.326 MB/s | delay: 480 ms
name: 🏁 Relay-6538 | avg_speed: 1.351 MB/s | delay: 245 ms
name: 🇫🇷 France-4233 | avg_speed: 1.881 MB/s | delay: 376 ms
name: 🇮🇹 Italy-3363 | avg_speed: 2.182 MB/s | delay: 451 ms
name: 🇺🇸 USA-4802 | avg_speed: 2.111 MB/s | delay: 434 ms
name: 🇪🇸 Spain-7450 | avg_speed: 2.369 MB/s | delay: 503 ms
name: 🇺🇸 USA-7525 | avg_speed: 1.578 MB/s | delay: 310 ms
name: 🇫🇷 France-1183 | avg_speed: 2.586 MB/s | delay: 558 ms
name: 🇩🇪 Germany-3005 | avg_speed: 2.260 MB/s | delay: 480 ms
name: 🇺🇸 USA-1817 | avg_speed: 1.569 MB/s | delay: 313 ms
name: 🇷🇸 Serbia-9360 | avg_speed: 2.506 MB/s | delay: 544 ms
name: 🏁 Relay-5059 | avg_speed: 2.341 MB/s | delay: 504 ms
name: 🏁 Relay-3007 | avg_speed: 0.784 MB/s | delay: 125 ms
name: 🏁 Relay-4906 | avg_speed: 1.583 MB/s | delay: 322 ms
name: 🇳🇱 Netherlands-4259 | avg_speed: 2.343 MB/s | delay: 508 ms
name: 🇷🇸 Serbia-4778 | avg_speed: 2.429 MB/s | delay: 530 ms
name: 🇬🇧 UK-7916 | avg_speed: 1.282 MB/s | delay: 250 ms
name: 🇯🇵 Japan-5230 | avg_speed: 2.176 MB/s | delay: 469 ms
name: 🏁 Relay-4580 | avg_speed: 0.409 MB/s | delay: 39 ms
name: 🇬🇧 UK-4976 | avg_speed: 2.019 MB/s | delay: 433 ms
name: 🇩🇪 Germany-9158 | avg_speed: 2.454 MB/s | delay: 542 ms
name: 🇬🇧 UK-7138 | avg_speed: 1.881 MB/s | delay: 403 ms
name: 🏁 Relay-8008 | avg_speed: 1.897 MB/s | delay: 407 ms
name: 🇯🇵 Japan-5536 | avg_speed: 2.156 MB/s | delay: 471 ms
name: 🇹🇷 Turkey-2021 | avg_speed: 2.126 MB/s | delay: 468 ms
name: 🇰🇷 South-Korea-4798 | avg_speed: 1.832 MB/s | delay: 399 ms
name: 🇪🇸 Spain-2332 | avg_speed: 2.097 MB/s | delay: 464 ms
name: 🏁 Relay-7693 | avg_speed: 2.297 MB/s | delay: 513 ms
name: 🇺🇸 USA-4715 | avg_speed: 1.881 MB/s | delay: 412 ms
name: 🇩🇪 Germany-2459 | avg_speed: 1.932 MB/s | delay: 426 ms
name: 🇱🇻 Latvia-1302 | avg_speed: 2.129 MB/s | delay: 476 ms
name: 🇫🇷 France-4447 | avg_speed: 2.038 MB/s | delay: 455 ms
name: 🇧🇬 Bulgaria-7120 | avg_speed: 1.923 MB/s | delay: 428 ms
name: 🏁 Relay-8872 | avg_speed: 0.425 MB/s | delay: 62 ms
name: 🇳🇱 Netherlands-6918 | avg_speed: 2.147 MB/s | delay: 485 ms
name: 🇬🇧 UK-6438 | avg_speed: 2.078 MB/s | delay: 469 ms
name: 🇬🇧 UK-8786 | avg_speed: 1.806 MB/s | delay: 405 ms
name: 🇩🇪 Germany-1003 | avg_speed: 2.012 MB/s | delay: 457 ms
name: 🇪🇸 Spain-1872 | avg_speed: 1.421 MB/s | delay: 313 ms
name: 🇸🇨 Seychelles-4639 | avg_speed: 1.739 MB/s | delay: 391 ms
name: 🇪🇸 Spain-3480 | avg_speed: 1.654 MB/s | delay: 371 ms
name: 🇫🇮 Finland-9984 | avg_speed: 2.029 MB/s | delay: 463 ms
name: 🏁 Relay-8363 | avg_speed: 0.398 MB/s | delay: 64 ms
name: 🇷🇸 Serbia-1102 | avg_speed: 2.199 MB/s | delay: 505 ms
name: 🏁 Relay-5746 | avg_speed: 2.705 MB/s | delay: 629 ms
name: 🏁 Relay-6863 | avg_speed: 2.305 MB/s | delay: 532 ms
name: 🇬🇧 UK-5479 | avg_speed: 1.524 MB/s | delay: 341 ms
name: 🇳🇱 Netherlands-2820 | avg_speed: 1.985 MB/s | delay: 454 ms
name: 🇭🇰 Hong-Kong-6400 | avg_speed: 2.113 MB/s | delay: 486 ms
name: 🏁 Relay-3222 | avg_speed: 2.676 MB/s | delay: 626 ms
name: 🏁 Relay-7284 | avg_speed: 2.185 MB/s | delay: 506 ms
name: 🇪🇪 Estonia-1746 | avg_speed: 2.289 MB/s | delay: 532 ms
name: 🇺🇸 USA-1414 | avg_speed: 0.777 MB/s | delay: 163 ms
name: 🇨🇦 Canada-6099 | avg_speed: 0.574 MB/s | delay: 114 ms
name: 🇹🇷 Turkey-1584 | avg_speed: 2.046 MB/s | delay: 475 ms
name: 🇳🇱 Netherlands-9322 | avg_speed: 2.181 MB/s | delay: 512 ms
name: 🏁 Relay-9678 | avg_speed: 0.425 MB/s | delay: 84 ms
name: 🇳🇱 Netherlands-3881 | avg_speed: 2.040 MB/s | delay: 481 ms
name: 🇸🇬 Singapore-3959 | avg_speed: 1.924 MB/s | delay: 454 ms
name: 🇷🇸 Serbia-2016 | avg_speed: 2.458 MB/s | delay: 586 ms
name: 🇯🇵 Japan-7223 | avg_speed: 1.971 MB/s | delay: 467 ms
name: 🇺🇸 USA-6439 | avg_speed: 0.531 MB/s | delay: 115 ms
name: 🇩🇪 Germany-9389 | avg_speed: 2.331 MB/s | delay: 558 ms
name: 🇰🇷 South-Korea-3799 | avg_speed: 2.078 MB/s | delay: 497 ms
name: 🇹🇼 Taiwan-6783 | avg_speed: 1.587 MB/s | delay: 377 ms
name: 🇺🇸 USA-3981 | avg_speed: 0.478 MB/s | delay: 106 ms
name: 🇬🇧 UK-1031 | avg_speed: 1.444 MB/s | delay: 344 ms
name: 🇸🇨 Seychelles-7128 | avg_speed: 1.935 MB/s | delay: 466 ms
name: 🏁 Relay-8314 | avg_speed: 2.442 MB/s | delay: 591 ms
name: 🇸🇨 Seychelles-5818 | avg_speed: 2.073 MB/s | delay: 501 ms
name: 🇺🇸 USA-5255 | avg_speed: 2.403 MB/s | delay: 584 ms
name: 🇩🇪 Germany-8671 | avg_speed: 2.334 MB/s | delay: 567 ms
name: 🇺🇸 USA-4757 | avg_speed: 2.318 MB/s | delay: 564 ms
name: 🏁 Relay-4743 | avg_speed: 0.417 MB/s | delay: 99 ms
name: 🏁 Relay-7823 | avg_speed: 0.436 MB/s | delay: 104 ms
name: 🇬🇧 UK-2203 | avg_speed: 1.333 MB/s | delay: 324 ms
name: 🏁 Relay-1752 | avg_speed: 2.190 MB/s | delay: 535 ms
name: 🇬🇧 UK-6164 | avg_speed: 1.364 MB/s | delay: 334 ms
name: 🇩🇪 Germany-9883 | avg_speed: 2.438 MB/s | delay: 597 ms
name: 🇷🇸 Serbia-5355 | avg_speed: 2.297 MB/s | delay: 566 ms
name: 🇬🇧 UK-8693 | avg_speed: 1.346 MB/s | delay: 334 ms
name: 🇱🇻 Latvia-9448 | avg_speed: 2.117 MB/s | delay: 523 ms
name: 🇯🇵 Japan-6719 | avg_speed: 1.917 MB/s | delay: 475 ms
